Employer_Name,EIN,State,Participants,Plan_Year,Plan_Name,Self_Insured,Market_Segment
ECN (US) HOLDINGS CORP,364837521,FL,725.0,2024,ECN (US) HOLDINGS CORP. 401(K) PLAN,Y,Mid-Market (500-5K)
"RUSSELL LANDS, INC.",630455398,AL,725.0,2024,RUSSELL LANDS 401(K) RETIREMENT SAVINGS/PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
BOLLORE LOGISTICS USA INC.,132635593,NY,725.0,2024,SAVINGS PLAN FOR EMPLOYEES OF BOLLORE LOGISTICS USA INC. AND SUBSIDIARIES,Y,Mid-Market (500-5K)
"LEEVERS SUPERMARKETS, INC.",450275647,CO,725.0,2024,"LEEVERS SUPERMARKETS, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
THE FIDELITY BANK,560132040,NC,725.0,2024,THE ENHANCED CAPITAL ACCUMULATION PLAN FOR THE EMPLOYEES OF THE FIDELITY BANK,Y,Mid-Market (500-5K)
CARESENSE HEALTH LLC,452453604,PA,725.0,2024,CARESENSE HEALTH 401(K),Y,Mid-Market (500-5K)
"DWYER INSTRUMENTS, LLC",350961454,IN,724.0,2024,DWYEROMEGA SAFE HARBOR 401(K) PLAN,Y,Mid-Market (500-5K)
"MACDONALD-MILLER FACILITY SOLUTIONS, LLC",680533726,WA,724.0,2024,"MACDONALD-MILLER FACILITY SOLUTIONS, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"BRIGHTON COLLECTIBLES, LLC",861148772,CA,724.0,2024,"BRIGHTON RETAIL, LLC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"FRALOCK, LLC",952558697,CA,724.0,2024,"FRALOCK, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
BUENA VIDA ADHC,834582522,KY,724.0,2024,BUENA VIDA ADHC 401(K) PLAN,Y,Mid-Market (500-5K)
MAIN STREET RURAL HEALTH LLC,870917282,TN,724.0,2024,MAIN STREET RURAL HEALTH LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"MAIL MANAGEMENT SERVICES, INC.",452582560,NE,724.0,2024,MAIL MANAGEMENT SERVICES INC. 401(K) PLAN,Y,Mid-Market (500-5K)
"MOSS BROS. AUTO GROUP, INC.",203424742,CA,724.0,2024,"MOSS BROS. AUTO GROUP, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
MARKETECH INTERNATIONAL CORPORATION USA,611906186,AZ,724.0,2024,MARKETECH INTERNATIONAL CORPORATION USA 401(K) PLAN,Y,Mid-Market (500-5K)
"SARGENT MANUFACTURING COMPANY ASSA ABLOY, INC.",251515164,CT,724.0,2024,RETIREMENT PLAN FOR EMPLOYEES OF SARGENT MANUFACTURING COMPANY AND AMSTAR ELECTRONICS GROUP,Y,Mid-Market (500-5K)
"SONATA HEALTH CARE, LLC",263743890,FL,724.0,2024,"SONATA HEALTH CARE, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
MICROPORT ORTHOPEDICS INC.,463372486,TN,724.0,2024,MICROPORT EMPLOYEE RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"ITERIS, INC.",952588496,CA,724.0,2024,"ITERIS, INC 401(K) AND STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
"WESTDALE ASSET MANAGEMENT, LTD",752680425,TX,724.0,2024,"WESTDALE ASSET MANAGEMENT, LTD 401(K) PLAN",Y,Mid-Market (500-5K)
CV INDUSTRIES,561043374,NC,723.0,2024,CV INDUSTRIES 401K PLAN,Y,Mid-Market (500-5K)
SUNWARD FEDERAL CREDIT UNION,850113445,NM,723.0,2024,SUNWARD FEDERAL CREDIT UNION EMPLOYEES' CASH BALANCE PENSION PLAN,Y,Mid-Market (500-5K)
"DACOTAH BANKS, INC.",460279766,SD,723.0,2024,"DACOTAH BANKS, INC. 401(K) SAVINGS PLAN",Y,Mid-Market (500-5K)
DREXEL BUILDING SUPPLY,271454029,WI,723.0,2024,"DREXEL BUILDING SUPPLY, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
"REPUTATION.COM, INC",510589907,CA,723.0,2024,"REPUTATION.COM, INC 401(K) PLAN",Y,Mid-Market (500-5K)
EASTER SEALS TRISTATE LLC,310873433,OH,723.0,2024,EASTER SEALS TRISTATE LLC 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"SANDEN INTERNATIONAL U.S.A., INC.",751458726,TX,723.0,2024,"SANDEN INTERNATIONAL U.S.A., INC. PENSION PLAN",Y,Mid-Market (500-5K)
"AUDITBOARD, INC.",471299245,CA,723.0,2024,"AUDITBOARD, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"BASTION TECHNOLOGIES, INC.",760586385,TX,723.0,2024,BASTION TECHNOLOGIES 401(K) PLAN,Y,Mid-Market (500-5K)
"FOOD AUTHORITY HOLDINGS, INC.",822618144,NY,723.0,2024,FOOD AUTHORITY EMPLOYEE STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
"NEXON AMERICA, INC.",680615002,CA,723.0,2024,"NEXON AMERICA, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
CLAXTON-HEPBURN MEDICAL CENTER,150559686,NY,723.0,2024,RETIREMENT PLAN FOR EMPLOYEES OF CLAXTON-HEPBURN MEDICAL CENTER,Y,Mid-Market (500-5K)
"RESERVE COMMUNICATIONS AND COMPUTER, LLC",721010639,LA,723.0,2024,RCC 401(K) PLAN AND TRUST,Y,Mid-Market (500-5K)
KELLY SPICERS INC.,952366121,CA,723.0,2024,THE KELLY SPICERS 401(K) PLAN,Y,Mid-Market (500-5K)
IVINSON MEMORIAL HOSPITAL,300975387,WY,723.0,2024,IVINSON MEMORIAL HOSPITAL RETIREMENT PLAN,Y,Mid-Market (500-5K)
IRON WORKERS NO 28 PENSION FUND,546112218,VA,723.0,2024,IRON WORKERS NO 28 PENSION FUND,Y,Mid-Market (500-5K)
"TK SERVICES, INC.",542086366,CA,723.0,2024,SONSRAY 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
REGENCY CENTERS,593191743,FL,722.0,2024,REGENCY CENTERS 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
COOPER TIRE & RUBBER COMPANY LLC,344297750,OH,722.0,2024,COOPER TIRE & RUBBER HOURLY EMPLOYEES A & S INSURANCE PLAN FINDLAY,Y,Mid-Market (500-5K)
MILESTONE RETIREMENT COMMUNITIES,814756997,WA,722.0,2024,MILESTONE RETIREMENT COMMUNITIES 401(K) PLAN,Y,Mid-Market (500-5K)
AUTO WAREHOUSING COMPANY,911607937,WA,722.0,2024,AUTO WAREHOUSING COMPANY 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
JEFFERSON INDUSTRIES CORP.,311239446,OH,722.0,2024,JEFFERSON INDUSTRIES CORP. RETIREMENT PLAN,Y,Mid-Market (500-5K)
MEMPHIS GOODWILL INC.,263445007,TN,722.0,2024,MEMPHIS GOODWILL INC. 403B RETIREMENT PLAN,Y,Mid-Market (500-5K)
"SABER POWER SERVICES, LLC",272783614,TX,722.0,2024,"SABER POWER SERVICES, LLC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
FLSMIDTH INC.,230606560,PA,722.0,2024,RETIREMENT PLAN FOR FLSMIDTH INC. SALARIED EMPLOYEES,Y,Mid-Market (500-5K)
"ONTIC ENGINEERING AND MANUFACTURING, INC.",954085481,CA,722.0,2024,ONTIC 401(K) PLAN,Y,Mid-Market (500-5K)
"LPMG HOLDINGS, LLC",824262073,CO,722.0,2024,LONE PEAK DENTAL GROUP 401(K) PLAN,Y,Mid-Market (500-5K)
"SERVANT HR, INC.",300190462,IN,722.0,2024,SERVANT HR 401(K) RETIREMENT PLAN,Y,Mid-Market (500-5K)
"MARRIOTT INTERNATIONAL, INC.",522055918,MD,722.0,2024,"MARRIOTT INTERNATIONAL, INC. DEATH BENEFIT PLAN",Y,Mid-Market (500-5K)
"BIG SANDY DISTRIBUTION, INC.",341933410,OH,722.0,2024,BIG SANDY SUPERSTORES 401(K) PLAN,Y,Mid-Market (500-5K)
"1111 SYSTEMS, INC.",850775797,NJ,722.0,2024,"1111 SYSTEMS, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
SPORTS BASEMENT,943390481,CA,722.0,2024,SPORTS BASEMENT RETIREMENT PLAN,Y,Mid-Market (500-5K)
TOPCO ASSOCIATES LLC,364469052,IL,722.0,2024,TOPCO ASSOCIATES LLC 401(K) PLAN,Y,Mid-Market (500-5K)
BELK INC.,562058574,NC,721.0,2024,BELK TEXAS INJURY BENEFIT PLAN,Y,Mid-Market (500-5K)
"RICE SERVICES, INC.",263765769,CA,721.0,2024,"RICE SERVICES, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
KINGSPAN HOLDINGS PANELS US INC.,262903876,FL,721.0,2024,KINGSPAN HOLDINGS PANELS US INC. 401(K) PLAN,Y,Mid-Market (500-5K)
FRESNO TRUCK CENTER,941450759,CA,721.0,2024,FRESNO TRUCK CENTER PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
KNIFE RIVER CORP. - NORTH CENTRAL,410906808,MN,721.0,2024,KNIFE RIVER CORPORATION - NORTH CENTRAL DAVIS-BACON EMPLOYEE WELFARE PLAN AND TRUST,Y,Mid-Market (500-5K)
"IVAR'S, INC.",911349316,WA,721.0,2024,"IVAR'S, INC. 401(K) PROFIT SHARING PLAN & TRUST",Y,Mid-Market (500-5K)
"LEWIS BROTHERS BAKERIES, INC.",370636783,IN,721.0,2024,"LEWIS BROTHERS BAKERIES, INC. PENSION PLAN",Y,Mid-Market (500-5K)
SCOTLAND HEALTH CARE SYSTEM,581847657,NC,721.0,2024,SCOTLAND HEALTH CARE SYSTEM EMPLOYEES' PENSION PLAN,Y,Mid-Market (500-5K)
"SHARP TRANSIT, LLC",562206676,NC,721.0,2024,"SHARP TRANSIT, LLC EMPLOYEES 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"PLANNED PARENTHOOD/ORANGE AND SAN BERNARDINO COUNTIES, INC.",956152773,CA,721.0,2024,"PLANNED PARENTHOOD/ORANGE AND SAN BERNARDINO COUNTIES, INC. RETIREMENT PLAN",Y,Mid-Market (500-5K)
"FLORIDA EAST COAST INDUSTRIES, LLC",204427296,FL,721.0,2024,"FLORIDA EAST COAST INDUSTRIES, LLC SALARY DEFERRAL PLAN",Y,Mid-Market (500-5K)
"EDPO, LLC",451874001,IL,721.0,2024,"EDPO, LLC EMPLOYEES SAVINGS TRUST",Y,Mid-Market (500-5K)
"BRIGADE ENERGY SERVICES, LLC",814763034,TX,720.0,2024,"BRIGADE ENERGY SERVICES, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"JEFFERSON SCIENCE ASSOCIATES, LLC",203974952,VA,720.0,2024,"JEFFERSON SCIENCE ASSOCIATES, LLC 125 BENEFIT PLAN",Y,Mid-Market (500-5K)
"MODERN BUILDERS SUPPLY, INCORPORATED",341236290,OH,720.0,2024,"MODERN BUILDERS SUPPLY, INC. EMPLOYEES' 401(K) AND PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
NYRSTAR CLARKSVILLE INC.,521056429,TN,720.0,2024,NYRSTAR CLARKSVILLE INC. SALARIED EMPLOYEES RETIREMENT PLAN,Y,Mid-Market (500-5K)
BIG ROCK SPORTS LLC,582579365,NC,720.0,2024,BIG ROCK 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
"SHERWOOD MANAGEMENT CO., INC.",951948904,CA,720.0,2024,"SHERWOOD MANAGEMENT CO., INC. & ASSOCIATED 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
MARY T. INC.,411525780,MN,720.0,2024,MARY T. INC. 401(K) SAVINGS PLAN,Y,Mid-Market (500-5K)
BATSON-COOK COMPANY,580156270,GA,720.0,2024,BATSON-COOK COMPANY 401(K) & PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
KURITA AMERICA INC.,411255017,MN,720.0,2024,KURITA AMERICA INC. RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"IPC SYSTEMS, INC.",300383566,NJ,720.0,2024,IPC 401(K) PLAN,Y,Mid-Market (500-5K)
"ED MARTIN EAST, INC.",351591878,IN,720.0,2024,ED MARTIN AUTO GROUP 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"UNITED COMMUNITY BANCORP, INC.",371078190,IL,720.0,2024,"UNITED COMMUNITY BANCORP, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"HCL GLOBAL SYSTEMS, INC.",134309337,MI,720.0,2024,HCL GLOBAL SYSTEMS 401(K) PLAN,Y,Mid-Market (500-5K)
"MERIDIAN COOPERATIVE, INC.",581257418,GA,720.0,2024,MERIDIAN COOPERATIVE SAVINGS PLAN,Y,Mid-Market (500-5K)
"TAYLOR UNITED, INC.",910853722,WA,720.0,2024,"TAYLOR UNITED, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
PEMCO MUTUAL INSURANCE COMPANY,916028851,WA,720.0,2024,PEMCO 401(K) PLAN,Y,Mid-Market (500-5K)
BEAUTY MANAGEMENT INC ESOP,930559561,OR,719.0,2024,BEAUTY MANAGEMENT INCORPORATED EMPLOYEE STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
NATIONAL LOUIS UNIVERSITY,362167804,IL,719.0,2024,NATIONAL LOUIS UNIVERSITY SEVERANCE PLAN,Y,Mid-Market (500-5K)
"GOLD POINT LODGING & REALTY, INC.",841117805,CO,719.0,2024,BRECKENRIDGE GRAND VACATIONS 401(K) PLAN,Y,Mid-Market (500-5K)
WILLIAMS & CONNOLLY LLP,520851221,DC,719.0,2024,WILLIAMS & CONNOLLY LLP SAVINGS PLAN AND TRUST,Y,Mid-Market (500-5K)
WENGER CORPORATION,410759858,MN,719.0,2024,WENGER CORPORATION RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
SUNCOR ENERGY (U.S.A.) INC.,510403125,CO,719.0,2024,SUNCOR ENERGY US PENSION PLAN,Y,Mid-Market (500-5K)
"BRILLIANT EARTH, LLC",203413075,CA,719.0,2024,"BRILLIANT EARTH, LLC 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"T.RAD NORTH AMERICA, INC.",611133164,KY,719.0,2024,"T.RAD NORTH AMERICA, INC. SAVINGS PLAN AND TRUST",Y,Mid-Market (500-5K)
FORMICA CORPORATION,232192184,OH,719.0,2024,FORMICA CORPORATION 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
LF DISTRIBUTION HOLDING INC.,465351064,NY,719.0,2024,LF DISTRIBUTION HOLDING 401(K) PLAN,Y,Mid-Market (500-5K)
"FUTURA TITLE & ESCROW, LLC",611764146,ID,718.0,2024,"FUTURA TITLE & ESCROW, LLC PLAN",Y,Mid-Market (500-5K)
BOARD OF TRUSTEES OF RETIREMENT PLAN OF THE WHOLESALE WINE SALESMEN PE,510157873,NY,718.0,2024,RETIREMENT PLAN OF WHOLESALE WINE SALESMEN'S PENSION FUND,Y,Mid-Market (500-5K)
OREGON COMMUNITY CREDIT UNION,930492535,OR,718.0,2024,OREGON COMMUNITY CREDIT UNION 401(K) PLAN AND TRUST,Y,Mid-Market (500-5K)
"EMPIRE OFFICE, INC.",131945763,NY,718.0,2024,"EMPIRE OFFICE, INC. 401(K) PLAN II",Y,Mid-Market (500-5K)
"MANNA PRO PRODUCTS, LLC",205859837,MO,718.0,2024,"MANNA PRO PRODUCTS, LLC RETIREMENT PLAN",Y,Mid-Market (500-5K)
"KENNEDY/JENKS CONSULTANTS, INC.",942147007,CA,718.0,2024,"KENNEDY/JENKS CONSULTANTS, INC. PROFIT SHARING RETIREMENT PLAN",Y,Mid-Market (500-5K)
CAMERON MEMORIAL COMMUNITY HOSPITAL INC.,350211370,IN,718.0,2024,CAMERON MEMORIAL COMMUNITY HOSPITAL INC EMPLOYEES' RETIREMENT PLAN,Y,Mid-Market (500-5K)
"ROBSON COMMUNITIES, INC.",860665522,AZ,718.0,2024,"ROBSON COMMUNITIES, INC. HOMEOWNERS ASSOCIATIONS 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"NEW LEAF COMMUNITY MARKETS, INC.",770077955,CA,718.0,2024,NEW LEAF COMMUNITY MARKETS AND GOOD FOOD HOLDINGS 401(K) PLAN,Y,Mid-Market (500-5K)
"FAIRE WHOLESALE, INC.",814549038,CA,718.0,2024,FAIRE 401(K) PLAN,Y,Mid-Market (500-5K)
JOINT BOARD OF TRUSTEES OF IBEW LOCAL 575 PENSION FUND,621059603,WV,718.0,2024,IBEW LOCAL 575 PENSION FUND,Y,Mid-Market (500-5K)
ALTAGAS SERVICES (U.S.) INC.,810540879,MI,718.0,2024,ALTAGAS SERVICES (U.S.) INC. 401(K) PLAN,Y,Mid-Market (500-5K)
ATLANTA PLUMBERS & STEAMFITTERS RETIREE,371830040,FL,718.0,2024,ATLANTA PLUMBERS & STEAMFITTERS RETIREE H&W FUND,Y,Mid-Market (500-5K)
DHG UNLIMITED LLC,815133659,TX,717.0,2024,DHG UNLIMITED LLC ACCIDENT PROTECTION PLAN,Y,Mid-Market (500-5K)
BAXTER SHARED SERVICES,470778355,NE,717.0,2024,BAXTER AUTO HEALTH PLAN 511,Y,Mid-Market (500-5K)
"ELAMEX USA, CORP.",522104555,TX,717.0,2024,ELAMEX USA INVESTMENT SAVINGS PLAN AND TRUST,Y,Mid-Market (500-5K)
"JAS. D. EASTON, INC.",951787603,UT,717.0,2024,JAS. D. EASTON 401(K) / PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
GODBERSEN-SMITH CONSTRUCTION COMPANY,420823217,IA,717.0,2024,GODBERSEN-SMITH CONSTRUCTION COMPANY 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"PRAIRIE STATE GENERATING COMPANY, LLC",431941772,IL,717.0,2024,"PRAIRIE STATE GENERATING COMPANY, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
"REA MAGNET WIRE COMPANY, INC.",350602855,IN,717.0,2024,"REA MAGNET WIRE COMPANY, INC. EMPLOYEES' RETIREMENT SAVINGS PLAN",Y,Mid-Market (500-5K)
"MEDICAL ASSOCIATES CLINIC, PC",421115442,IA,717.0,2024,MEDICAL ASSOCIATES CLINIC P.C MEDICAL HEALTH CARE PLAN (FKA HEALTH PLAN HMO),Y,Mid-Market (500-5K)
ANTERO RESOURCES CORPORATION,800162034,CO,717.0,2024,ANTERO RESOURCES CORPORATION 401(K) PLAN,Y,Mid-Market (500-5K)
MARIANNA INDUSTRIES INCORPORATED,470525539,NE,717.0,2024,COHERE BEAUTY 401(K) PLAN,Y,Mid-Market (500-5K)
"NOVIPAX BUYER, LLC",853705674,IL,717.0,2024,NOVIPAX ABSORBENTS 401(K) PLAN,Y,Mid-Market (500-5K)
MEMBRANE HOLDINGS LLC,412252809,OR,717.0,2024,ENTEK 401(K) PLAN,Y,Mid-Market (500-5K)
"CURTIS, MALLET-PREVOST, COLT & MOSLE LLP",135018900,NY,717.0,2024,"RETIREMENT PLAN FOR ASSOCIATES AND STAFF EMPLOYEES OF CURTIS, MALLET-PREVOST, COLT & MOSLE LLP",Y,Mid-Market (500-5K)
"J.F. TAYLOR, INC.",521397047,MD,717.0,2024,"J.F. TAYLOR, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"LAFORCE, LLC",390980509,WI,716.0,2024,"LAFORCE, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
ST BARNABAS EMPLOYEES RETIREMENT SAVINGS PLAN,251552913,PA,716.0,2024,ST BARNABAS EMPLOYEES RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"METAL TECHNOLOGIES OF INDIANA, LLC",352068586,IN,716.0,2024,MTI 401(K) PLAN,Y,Mid-Market (500-5K)
WELLTOWER INC.,341096634,OH,716.0,2024,WELLTOWER INC. RETIREMENT PLAN AND TRUST,Y,Mid-Market (500-5K)
"MCNEILL HOTEL COMPANY, LLC",465250951,TN,716.0,2024,MCNEILL HOTEL COMPANY 401(K) PLAN,Y,Mid-Market (500-5K)
"BASS UNDERWRITERS, INC.",650514182,FL,716.0,2024,"BASS UNDERWRITERS, INC. 401(K) P.S. PLAN",Y,Mid-Market (500-5K)
"ROBIN INDUSTRIES, INC.",340687154,OH,716.0,2024,"ROBIN INDUSTRIES, INC. EMPLOYEE STOCK OWNERSHIP PLAN",Y,Mid-Market (500-5K)
"JM TEST SYSTEMS, LLC",920636105,LA,716.0,2024,"JM TEST SYSTEMS, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
WESTERN MILLING LLC,770543517,CA,716.0,2024,WESTERN MILLING LLC 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
"ASC ORTHO MANAGEMENT COMPANY, LLC",831642974,MD,716.0,2024,ALIGNED ORTHOPEDIC PARTNERS 401(K) PLAN,Y,Mid-Market (500-5K)
"HAND FAMILY COMPANIES, LLC",464624295,TN,716.0,2024,"HAND FAMILY COMPANIES, LLC 401(K) RETIREMENT PLAN",Y,Mid-Market (500-5K)
"WUNDERLICH-MALEC ENGINEERING, INC.",411412464,MN,716.0,2024,"WUNDERLICH-MALEC ENGINEERING, INC. PROFIT SHARING AND SALARY REDUCTION PLAN",Y,Mid-Market (500-5K)
WINDSOR DOOR,274454018,AR,715.0,2024,WINDSOR DOOR UNION RETIREMENT,Y,Mid-Market (500-5K)
ROSS BUSINESS GROUP,455475814,TX,715.0,2024,ROSS BUSINESS GROUP ACCIDENT PROTECTION PLAN,Y,Mid-Market (500-5K)
"THE MYERS GROUP, LLC",260856416,WA,715.0,2024,THE MYERS GROUP RETIREMENT PLAN,Y,Mid-Market (500-5K)
V CRUISES US LLC,471860473,FL,715.0,2024,V CRUISES US LLC. 401(K) PLAN,Y,Mid-Market (500-5K)
CIPRIANI USA INC,134003902,NY,715.0,2024,"CIPRIANI USA, INC.",Y,Mid-Market (500-5K)
GREEN MOUNTAIN POWER CORPORATION,30127430,VT,715.0,2024,GREEN MOUNTAIN POWER CORPORATION EMPLOYEE SAVINGS AND INVESTMENT PLAN AND TRUST,Y,Mid-Market (500-5K)
"ARAMCOR, INC.",742931084,TX,715.0,2024,"ARAMCOR, INC. PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
DR REDDY'S LABORATORIES INC.,223181573,NJ,715.0,2024,DR. REDDY'S LABORATORIES INC. 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
"NEW DIRECTIONS YOUTH AND FAMILY SERVICES, INC.",160743220,NY,715.0,2024,NEW DIRECTIONS YOUTH AND FAMILY SERVICES 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
"HILCO HOLDINGS, INC.",990449815,NC,715.0,2024,HILCO HOLDINGS & SUBSIDIARIES 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
THIELE KAOLIN COMPANY,580525495,GA,715.0,2024,THIELE KAOLIN COMPANY RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"PROMETHEUS REAL ESTATE GROUP, INC.",943164729,CA,715.0,2024,"PROMETHEUS REAL ESTATE GROUP, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
"BRUCE OAKLEY, INC.",710483822,AR,715.0,2024,"BRUCE OAKLEY, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
YUGO USA LLC,364744507,CO,715.0,2024,YUGO USA LLC 401(K) PLAN,Y,Mid-Market (500-5K)
"NG OPERATIONS, LLC",853196048,NC,715.0,2024,PENSION PLAN FOR REPRESENTED HOURLY-PAID EMPLOYEES OF NATIONAL GYPSUM,Y,Mid-Market (500-5K)
CMJ HEALTHCARE HOLDINGS LLC,850973688,PA,715.0,2024,VOGUE RECOVERY CENTER 401(K) PLAN,Y,Mid-Market (500-5K)
"VERACYTE, INC.",205455398,CA,715.0,2024,"VERACYTE, INC. 401(K) PLAN",Y,Mid-Market (500-5K)
TWO JS LLC,814156671,CO,715.0,2024,SCHWAZZE 401(K) PLAN,Y,Mid-Market (500-5K)
DEVIL MOUNTAIN WHOLESALE NURSERY,943283949,CA,714.0,2024,DEVIL MOUNTAIN WHOLESALE NURSERY 401(K) PROFIT SHARING PLAN,Y,Mid-Market (500-5K)
NATIONAL EDUCATION ASSOCIATION OF THE UNITED STATES,530115260,DC,714.0,2024,NATIONAL EDUCATION ASSOCIATION 401(K) RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
WILTON BRANDS LLC,204255723,IL,714.0,2024,WILTON BRANDS LLC RETIREMENT PLAN,Y,Mid-Market (500-5K)
BOT OF FOOD EMPLOYERS AND TEAMSTERS LOCAL 463 RETIREMENT SAVINGS PLAN,237418948,NJ,714.0,2024,FOOD EMPLOYERS AND TEAMSTERS LOCAL 463 RETIREMENT SAVINGS PLAN,Y,Mid-Market (500-5K)
"STELLAR SENIOR LIVING, LLC",454623007,UT,714.0,2024,"STELLAR SENIOR LIVING, LLC MEDICAL PLAN",Y,Mid-Market (500-5K)
"GUARANTY BANCSHARES, INC.",751656431,TX,713.0,2024,"GUARANTY BANCSHARES, INC. ESOP W/401(K) PROVISIONS",Y,Mid-Market (500-5K)
HEALTH PARTNERS OF WESTERN OHIO,562330309,OH,713.0,2024,HEALTH PARTNERS OF WESTERN OHIO 403(B) PLAN,Y,Mid-Market (500-5K)
"NEW HOPE COMMUNITY, INC.",222871755,NY,713.0,2024,"NEW HOPE COMMUNITY, INC. RETIREMENT PLAN",Y,Mid-Market (500-5K)
TOUFAYAN BAKERY OF FLORIDA INC,592295770,NJ,713.0,2024,TOUFAYAN BAKERY OF FLORIDA INC 401(K) PROFIT SHARING PLAN & TRUST,Y,Mid-Market (500-5K)
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",954502084,CA,713.0,2024,"ALEXANDRIA REAL ESTATE EQUITIES, INC. 401(K) PROFIT SHARING PLAN",Y,Mid-Market (500-5K)
"ON TOP OF THE WORLD COMMUNITIES, LLC",596059413,FL,713.0,2024,"ON TOP OF THE WORLD COMMUNITIES, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
SUNBEAM TELEVISION CORPORATION,596071944,FL,713.0,2024,THE RETIREMENT SAVINGS PLAN OF SUNBEAM TELEVISION CORPORATION,Y,Mid-Market (500-5K)
"WEBER DISTRIBUTION, LLC",680592921,CA,713.0,2024,"WEBER DISTRIBUTION, LLC 401(K) PLAN",Y,Mid-Market (500-5K)
SPRINGBOARD COLLABORATIVE,453719806,PA,713.0,2024,SPRINGBOARD COLLABORATIVE 403(B) PLAN,Y,Mid-Market (500-5K)
MAPFRE PRAICO CORPORATION .,660781080,PR,713.0,2024,MAPFRE PRAICO RETIREMENT AND SAVINGS PLAN RETIREMENT AND SAVINGS PLAN,Y,Mid-Market (500-5K)
MANGO TECHNOLOGIES INC. DBA CLICKUP,811650374,CA,713.0,2024,CLICKUP 401(K) PLAN,Y,Mid-Market (500-5K)
HATCO CORPORATION,390913489,WI,712.0,2024,HATCO CORPORATION 401(K) TRUST,Y,Mid-Market (500-5K)
"MKV ENTERPRISES, INC.",752879052,TX,712.0,2024,"MKV ENTERPRISES, INC. ACCIDENT PROTECTION PLAN",Y,Mid-Market (500-5K)
NORTHRIM BANK,920134436,AK,712.0,2024,NORTHRIM BANK SAVINGS INCENTIVE PLAN,Y,Mid-Market (500-5K)
"SENTINEL TECHNOLOGIES, INC.",363199182,IL,712.0,2024,SENTINEL TECHNOLOGIES INC. EMPLOYEE STOCK OWNERSHIP PLAN,Y,Mid-Market (500-5K)
